userID,cluster
1,6
2,5
3,2
4,1
5,1
6,5
7,5
8,8
9,4
10,1
11,5
12,2
13,8
14,9
15,5
16,5
17,6
18,7
19,9
20,9
21,1
22,8
23,6
24,9
25,9
26,5
27,7
28,5
29,6
30,2
31,5
32,5
33,5
34,9
35,9
36,9
37,1
38,2
39,5
40,5
41,0
42,5
43,3
44,5
45,6
46,9
47,6
48,5
49,0
50,2
51,8
52,8
53,6
54,5
55,6
56,3
57,1
58,1
59,8
60,5
61,5
62,9
63,0
64,8
65,8
66,1
67,3
68,1
69,9
70,0
71,8
72,2
73,1
74,0
75,9
76,4
77,5
78,5
79,1
80,2
81,2
82,8
83,5
84,5
85,4
86,2
87,5
88,2
89,1
90,8
91,5
92,5
93,2
94,0
95,8
96,6
97,5
98,8
99,5
100,0
101,8
102,1
103,7
104,5
105,5
106,5
107,2
108,1
109,5
110,2
111,5
112,5
113,1
114,5
115,6
116,1
117,1
118,2
119,5
120,2
121,3
122,6
123,8
124,1
125,5
126,5
127,5
128,5
129,9
130,5
131,5
132,1
133,0
134,6
135,1
136,5
137,8
138,1
139,1
140,6
141,1
142,7
143,5
144,1
145,5
146,1
147,3
148,0
149,5
150,5
151,6
152,4
153,2
154,4
155,7
156,8
157,6
158,8
159,1
160,5
161,2
162,8
163,2
164,5
165,1
166,5
167,1
168,1
169,1
170,9
171,6
172,5
173,5
174,2
175,4
176,6
177,1
178,2
179,5
180,1
181,5
182,6
183,3
184,1
185,5
186,2
187,9
188,2
189,5
190,5
191,9
192,5
193,8
194,2
195,5
196,1
197,5
198,8
199,1
200,5
201,5
202,5
203,5
204,2
205,5
206,1
207,2
208,2
209,4
210,0
211,1
212,4
213,5
214,3
215,6
216,0
217,8
218,2
219,6
220,5
221,2
222,6
223,4
224,5
225,1
226,5
227,9
228,5
229,6
230,2
231,5
232,8
233,2
234,5
235,1
236,2
237,6
238,5
239,1
240,9
241,6
242,4
243,8
244,4
245,8
246,2
247,0
248,5
249,2
250,9
251,5
252,9
253,5
254,5
255,5
256,9
257,9
258,0
259,8
260,2
261,9
262,2
263,6
264,5
265,1
266,6
267,0
268,0
269,6
270,9
271,0
272,8
273,6
274,5
275,0
276,5
277,5
278,6
279,1
280,9
281,5
282,5
283,1
284,6
285,6
286,1
287,1
288,2
289,4
290,5
291,0
292,1
293,5
294,5
295,8
296,1
297,4
298,8
299,9
300,5
301,8
302,9
303,8
304,5
305,5
306,2
307,0
308,7
309,2
310,8
311,2
312,5
313,5
314,2
315,8
316,1
317,8
318,3
319,6
320,1
321,5
322,5
323,0
324,5
325,1
326,5
327,5
328,5
329,8
330,4
331,5
332,5
333,5
334,6
335,5
336,5
337,9
338,5
339,6
340,3
341,9
342,7
343,0
344,5
345,3
346,7
347,8
348,5
349,9
350,7
351,6
352,9
353,2
354,1
355,2
356,2
357,8
358,2
359,8
360,5
361,4
362,7
363,8
364,1
365,5
366,2
367,1
368,4
369,6
370,5
371,5
372,2
373,2
374,2
375,5
376,2
377,1
378,5
379,6
380,0
381,7
382,2
383,5
384,5
385,1
386,8
387,9
388,1
389,5
390,5
391,2
392,6
393,3
394,4
395,2
396,1
397,1
398,5
399,2
400,5
401,1
402,5
403,5
404,1
405,2
406,5
407,0
408,5
409,6
410,9
411,8
412,8
413,4
414,1
415,8
416,5
417,2
418,1
419,6
420,1
421,6
422,1
423,5
424,0
425,8
426,5
427,6
428,6
429,8
430,1
431,0
432,5
433,1
434,1
435,0
436,2
437,2
438,6
439,1
440,2
441,8
442,5
443,5
444,5
445,1
446,5
447,5
448,1
449,0
450,8
451,6
452,5
453,1
454,7
455,5
456,4
457,5
458,5
459,5
460,9
461,8
462,5
463,5
464,1
465,7
466,9
467,5
468,0
469,5
470,5
471,7
472,5
473,5
474,5
475,6
476,5
477,9
478,2
479,8
480,9
481,9
482,6
483,1
484,1
485,5
486,5
487,5
488,5
489,5
490,5
491,5
492,4
493,5
494,5
495,0
496,1
497,8
498,4
499,5
500,5
501,5
502,2
503,5
504,2
505,2
506,6
507,5
508,5
509,5
510,6
511,5
512,9
513,7
514,1
515,7
516,3
517,9
518,3
519,7
520,1
521,4
522,1
523,6
524,8
525,5
526,5
527,5
528,6
529,5
530,0
531,9
532,8
533,3
534,3
535,1
536,0
537,0
538,8
539,5
540,0
541,5
542,8
543,5
544,1
545,8
546,9
547,5
548,1
549,5
550,1
551,1
552,7
553,5
554,9
555,4
556,8
557,0
558,6
559,1
560,5
561,0
562,5
563,5
564,1
565,1
566,9
567,5
568,4
569,4
570,2
571,1
572,5
573,9
574,5
575,5
576,8
577,8
578,5
579,8
580,4
581,7
582,9
583,0
584,8
585,2
586,1
587,2
588,8
589,5
590,6
591,2
592,8
593,8
594,8
595,1
596,5
597,5
598,5
599,5
600,6
601,1
602,6
603,6
604,8
