userID,cluster
1,6
2,5
3,2
4,9
5,7
6,5
7,5
8,8
9,4
10,1
11,7
12,2
13,8
14,9
15,8
16,0
17,6
18,7
19,9
20,9
21,1
22,8
23,6
24,0
25,0
26,0
27,6
28,5
29,6
30,3
31,5
32,1
33,5
34,9
35,0
36,9
37,1
38,2
39,7
40,8
41,0
42,5
43,3
44,5
45,6
46,9
47,6
48,8
49,0
50,3
51,8
52,8
53,9
54,1
55,6
56,3
57,2
58,1
59,8
60,9
61,5
62,9
63,0
64,8
65,8
66,5
67,3
68,8
69,0
70,0
71,1
72,2
73,1
74,0
75,9
76,4
77,6
78,7
79,1
80,3
81,2
82,6
83,5
84,6
85,4
86,2
87,5
88,3
89,1
90,8
91,5
92,5
93,2
94,0
95,8
96,3
97,8
98,8
99,8
100,0
101,5
102,1
103,7
104,8
105,0
106,8
107,6
108,8
109,5
110,2
111,0
112,9
113,1
114,6
115,0
116,1
117,1
118,6
119,6
120,7
121,3
122,7
123,9
124,1
125,5
126,7
127,7
128,5
129,9
130,5
131,5
132,7
133,0
134,6
135,8
136,7
137,4
138,1
139,8
140,3
141,1
142,7
143,2
144,6
145,5
146,4
147,3
148,0
149,4
150,0
151,6
152,4
153,7
154,4
155,7
156,4
157,0
158,8
159,1
160,5
161,2
162,9
163,8
164,5
165,6
166,6
167,1
168,2
169,7
170,9
171,8
172,6
173,2
174,2
175,4
176,6
177,1
178,2
179,5
180,1
181,5
182,6
183,3
184,1
185,8
186,2
187,9
188,2
189,7
190,5
191,9
192,8
193,8
194,2
195,5
196,1
197,5
198,8
199,1
200,5
201,5
202,9
203,9
204,2
205,8
206,1
207,2
208,4
209,4
210,0
211,1
212,4
213,8
214,3
215,6
216,0
217,2
218,0
219,1
220,5
221,8
222,6
223,4
224,5
225,0
226,8
227,9
228,5
229,7
230,2
231,1
232,9
233,0
234,5
235,8
236,2
237,6
238,5
239,1
240,4
241,8
242,4
243,8
244,4
245,1
246,2
247,0
248,7
249,1
250,9
251,5
252,0
253,5
254,4
255,2
256,9
257,9
258,0
259,8
260,4
261,9
262,1
263,6
264,5
265,1
266,0
267,0
268,0
269,6
270,9
271,0
272,9
273,4
274,8
275,0
276,8
277,3
278,5
279,1
280,9
281,9
282,5
283,6
284,8
285,6
286,1
287,1
288,2
289,3
290,0
291,8
292,6
293,5
294,5
295,8
296,5
297,4
298,8
299,9
300,7
301,8
302,2
303,8
304,4
305,5
306,2
307,0
308,7
309,1
310,8
311,2
312,7
313,5
314,2
315,4
316,7
317,8
318,3
319,7
320,1
321,2
322,1
323,8
324,2
325,1
326,5
327,8
328,5
329,8
330,4
331,5
332,5
333,2
334,6
335,6
336,5
337,9
338,4
339,6
340,3
341,9
342,7
343,0
344,5
345,3
346,7
347,8
348,8
349,9
350,7
351,4
352,9
353,8
354,1
355,4
356,8
357,2
358,8
359,8
360,7
361,4
362,7
363,8
364,0
365,1
366,2
367,1
368,4
369,1
370,5
371,0
372,2
373,2
374,2
375,5
376,2
377,8
378,8
379,6
380,0
381,7
382,0
383,7
384,6
385,1
386,4
387,9
388,7
389,5
390,5
391,8
392,6
393,3
394,6
395,7
396,0
397,8
398,2
399,2
400,5
401,1
402,0
403,2
404,6
405,2
406,5
407,0
408,3
409,6
410,9
411,4
412,3
413,4
414,1
415,8
416,5
417,2
418,1
419,4
420,9
421,6
422,0
423,2
424,0
425,8
426,4
427,7
428,8
429,8
430,1
431,4
432,2
433,8
434,1
435,0
436,2
437,2
438,2
439,4
440,7
441,6
442,8
443,0
444,5
445,1
446,8
447,5
448,0
449,0
450,8
451,6
452,5
453,1
454,7
455,5
456,4
457,5
458,5
459,5
460,7
461,8
462,1
463,6
464,1
465,7
466,9
467,0
468,0
469,4
470,5
471,7
472,5
473,8
474,8
475,6
476,5
477,4
478,2
479,8
480,9
481,9
482,6
483,4
484,1
485,5
486,8
487,0
488,8
489,5
490,7
491,9
492,4
493,0
494,5
495,0
496,1
497,8
498,4
499,4
500,5
501,8
502,2
503,5
504,2
505,2
506,6
507,6
508,6
509,5
510,5
511,2
512,7
513,9
514,1
515,7
516,3
517,9
518,3
519,7
520,3
521,4
522,0
523,6
524,8
525,6
526,1
527,5
528,8
529,1
530,0
531,9
532,8
533,3
534,3
535,4
536,0
537,0
538,8
539,2
540,0
541,5
542,8
543,0
544,2
545,8
546,9
547,8
548,1
549,5
550,1
551,1
552,7
553,4
554,5
555,4
556,8
557,0
558,5
559,1
560,8
561,0
562,9
563,5
564,1
565,8
566,9
567,5
568,4
569,4
570,8
571,4
572,4
573,9
574,5
575,9
576,5
577,8
578,5
579,8
580,4
581,7
582,6
583,0
584,8
585,2
586,1
587,2
588,8
589,5
590,6
591,2
592,8
593,8
594,8
595,6
596,5
597,7
598,1
599,1
600,6
601,1
602,2
603,6
604,8
